Gmt time,Open,High,Low,Close,Volume
05.01.2009 00:00:00.000,76.180,78.660,75.640,78.465,74270
06.01.2009 00:00:00.000,78.455,80.410,77.760,78.815,72346
07.01.2009 00:00:00.000,78.835,79.395,77.015,77.455,84021
08.01.2009 00:00:00.000,77.455,77.620,75.785,77.300,76570
09.01.2009 00:00:00.000,77.305,77.420,75.395,76.121,77233
10.01.2009 00:00:00.000,76.121,76.121,76.121,76.121,0
11.01.2009 00:00:00.000,75.909,76.260,75.475,75.655,4394
12.01.2009 00:00:00.000,75.670,75.840,73.070,73.470,54527
13.01.2009 00:00:00.000,73.475,73.525,72.155,72.965,62594
14.01.2009 00:00:00.000,72.990,74.145,71.070,71.505,67298
15.01.2009 00:00:00.000,71.520,72.070,70.605,71.850,97293
16.01.2009 00:00:00.000,71.860,73.605,71.655,72.988,72095
17.01.2009 00:00:00.000,72.988,72.988,72.988,72.988,0
18.01.2009 00:00:00.000,72.962,73.720,72.945,73.570,3920
19.01.2009 00:00:00.000,73.580,73.670,71.745,72.230,49058
20.01.2009 00:00:00.000,72.245,72.505,70.735,70.930,66819
21.01.2009 00:00:00.000,70.945,71.485,68.370,70.620,82127
22.01.2009 00:00:00.000,70.625,71.280,69.260,71.105,129368
23.01.2009 00:00:00.000,71.120,72.500,69.675,72.206,67610
24.01.2009 00:00:00.000,72.206,72.206,72.206,72.206,0
25.01.2009 00:00:00.000,71.945,72.180,71.255,71.400,5350
26.01.2009 00:00:00.000,71.400,73.795,71.380,72.940,96780
27.01.2009 00:00:00.000,72.940,73.875,71.855,72.905,109829
28.01.2009 00:00:00.000,72.905,74.850,72.265,74.510,107572
29.01.2009 00:00:00.000,74.505,74.645,73.205,73.400,101489
30.01.2009 00:00:00.000,73.395,73.445,72.130,73.247,91162
31.01.2009 00:00:00.000,73.247,73.247,73.247,73.247,0
01.02.2009 00:00:00.000,73.220,73.360,72.935,72.980,5836
02.02.2009 00:00:00.000,72.980,73.070,71.650,71.700,131915
03.02.2009 00:00:00.000,71.700,72.760,71.455,72.440,112505
04.02.2009 00:00:00.000,72.445,73.295,71.630,72.620,101699
05.02.2009 00:00:00.000,72.620,75.145,72.250,74.040,84342
06.02.2009 00:00:00.000,74.065,75.380,72.650,75.289,89971
07.02.2009 00:00:00.000,75.289,75.289,75.289,75.289,0
08.02.2009 00:00:00.000,75.382,75.800,74.940,75.260,4023
09.02.2009 00:00:00.000,75.260,75.690,74.135,74.850,108361
10.02.2009 00:00:00.000,74.845,75.115,72.165,72.805,112093
11.02.2009 00:00:00.000,72.820,73.045,71.975,72.720,85526
12.02.2009 00:00:00.000,72.720,73.265,72.020,72.885,122457
13.02.2009 00:00:00.000,72.900,74.705,72.820,74.469,91893
14.02.2009 00:00:00.000,74.469,74.469,74.469,74.469,0
15.02.2009 00:00:00.000,73.961,74.350,73.590,73.615,5680
16.02.2009 00:00:00.000,73.630,74.065,73.430,73.805,53634
17.02.2009 00:00:00.000,73.825,74.200,72.430,72.950,85648
18.02.2009 00:00:00.000,72.965,74.685,72.855,74.300,84659
19.02.2009 00:00:00.000,74.315,75.585,74.210,74.800,76378
20.02.2009 00:00:00.000,74.800,75.225,73.825,74.512,86152
21.02.2009 00:00:00.000,74.512,74.512,74.512,74.512,0
22.02.2009 00:00:00.000,74.741,74.825,74.431,74.630,4234
23.02.2009 00:00:00.000,74.630,76.380,74.140,75.420,111661
24.02.2009 00:00:00.000,75.420,78.130,75.250,77.830,81828
25.02.2009 00:00:00.000,77.830,78.225,76.850,77.570,85769
26.02.2009 00:00:00.000,77.560,79.380,77.395,78.450,82691
27.02.2009 00:00:00.000,78.440,78.505,76.300,76.464,77061
28.02.2009 00:00:00.000,76.464,76.464,76.464,76.464,0
01.03.2009 00:00:00.000,76.525,76.535,75.930,75.960,3185
02.03.2009 00:00:00.000,75.950,76.750,75.090,75.200,83262
03.03.2009 00:00:00.000,75.200,76.470,75.170,76.105,75113
04.03.2009 00:00:00.000,76.090,78.045,75.760,77.560,125595
05.03.2009 00:00:00.000,77.560,78.015,75.750,76.180,187582
06.03.2009 00:00:00.000,76.180,76.720,75.095,76.370,188575
07.03.2009 00:00:00.000,76.370,76.370,76.370,76.370,0
08.03.2009 00:00:00.000,76.402,76.570,76.295,76.360,4301
09.03.2009 00:00:00.000,76.360,76.810,75.725,76.180,194847
10.03.2009 00:00:00.000,76.180,77.220,76.065,77.085,201369
11.03.2009 00:00:00.000,77.090,77.130,75.240,75.385,290909
12.03.2009 00:00:00.000,75.370,76.670,74.035,76.035,228881
13.03.2009 00:00:00.000,76.030,77.890,75.930,77.000,213066
14.03.2009 00:00:00.000,77.000,77.000,77.000,77.000,0
15.03.2009 00:00:00.000,76.962,77.130,76.255,76.820,7127
16.03.2009 00:00:00.000,76.820,77.900,76.790,77.270,160761
17.03.2009 00:00:00.000,77.270,77.860,77.225,77.810,172060
18.03.2009 00:00:00.000,77.810,77.940,76.065,77.270,194572
19.03.2009 00:00:00.000,77.270,77.770,75.890,76.130,258112
20.03.2009 00:00:00.000,76.130,77.785,76.090,77.310,192335
21.03.2009 00:00:00.000,77.310,77.310,77.310,77.310,0
22.03.2009 00:00:00.000,77.343,77.500,76.975,77.490,9678
23.03.2009 00:00:00.000,77.490,79.580,77.400,79.320,235956
24.03.2009 00:00:00.000,79.320,80.655,79.270,80.030,249288
25.03.2009 00:00:00.000,80.035,80.060,78.640,79.460,221465
26.03.2009 00:00:00.000,79.455,80.420,79.260,80.230,212113
27.03.2009 00:00:00.000,80.230,80.440,78.370,78.770,213375
28.03.2009 00:00:00.000,78.770,78.770,78.770,78.770,0
29.03.2009 00:00:00.000,78.706,79.230,78.706,79.040,5019
30.03.2009 00:00:00.000,79.040,79.355,76.575,77.200,168688
31.03.2009 00:00:00.000,77.200,78.930,77.140,78.745,195212
01.04.2009 00:00:00.000,78.745,78.745,77.430,78.230,201654
02.04.2009 00:00:00.000,78.230,80.660,78.050,80.630,216010
03.04.2009 00:00:00.000,80.630,81.630,79.930,81.530,212023
04.04.2009 00:00:00.000,81.530,81.530,81.530,81.530,0
05.04.2009 00:00:00.000,81.536,81.980,81.186,81.950,10124
06.04.2009 00:00:00.000,81.940,82.870,80.620,80.620,177335
07.04.2009 00:00:00.000,80.630,81.730,80.025,81.360,198115
08.04.2009 00:00:00.000,81.360,81.445,79.925,80.640,220376
09.04.2009 00:00:00.000,80.650,82.160,80.445,82.110,200646
10.04.2009 00:00:00.000,82.110,82.140,81.525,81.730,32955
11.04.2009 00:00:00.000,81.730,81.730,81.730,81.730,0
12.04.2009 00:00:00.000,81.728,81.930,81.605,81.805,3872
13.04.2009 00:00:00.000,81.800,82.390,81.490,82.290,115636
14.04.2009 00:00:00.000,82.290,82.465,81.175,81.510,256317
15.04.2009 00:00:00.000,81.510,82.745,80.620,82.390,295152
16.04.2009 00:00:00.000,82.390,82.860,81.480,82.295,280529
17.04.2009 00:00:00.000,82.310,82.465,81.105,81.710,249078
18.04.2009 00:00:00.000,81.710,81.710,81.710,81.710,0
19.04.2009 00:00:00.000,81.616,81.905,81.530,81.665,6033
20.04.2009 00:00:00.000,81.665,81.805,78.770,78.780,307037
21.04.2009 00:00:00.000,78.780,80.055,78.240,79.590,244342
22.04.2009 00:00:00.000,79.590,79.740,78.270,79.110,198192
23.04.2009 00:00:00.000,79.100,80.240,78.630,79.820,208626
24.04.2009 00:00:00.000,79.825,80.585,79.000,80.300,242172
25.04.2009 00:00:00.000,80.300,80.300,80.300,80.300,0
26.04.2009 00:00:00.000,80.314,80.392,79.635,79.730,6194
27.04.2009 00:00:00.000,79.720,79.995,78.980,79.070,239863
28.04.2009 00:00:00.000,79.070,79.405,78.040,79.060,283917
29.04.2009 00:00:00.000,79.065,81.490,79.020,81.150,174618
30.04.2009 00:00:00.000,81.150,83.050,80.980,82.850,254520
01.05.2009 00:00:00.000,82.850,83.990,82.730,83.550,141537
02.05.2009 00:00:00.000,83.550,83.550,83.550,83.550,0
03.05.2009 00:00:00.000,83.683,83.731,83.430,83.550,239
04.05.2009 00:00:00.000,83.880,84.550,83.435,84.260,175870
05.05.2009 00:00:00.000,84.275,84.705,83.865,83.900,375350
06.05.2009 00:00:00.000,83.910,84.530,82.950,84.510,333921
07.05.2009 00:00:00.000,84.520,85.380,84.140,84.700,256703
08.05.2009 00:00:00.000,84.700,85.825,84.425,85.620,241988
09.05.2009 00:00:00.000,85.620,85.620,85.620,85.620,0
10.05.2009 00:00:00.000,85.590,85.910,85.500,85.830,9779
11.05.2009 00:00:00.000,85.830,85.875,83.400,83.740,241820
12.05.2009 00:00:00.000,83.740,84.325,82.345,83.040,248542
13.05.2009 00:00:00.000,83.045,83.560,80.900,81.170,276365
14.05.2009 00:00:00.000,81.170,82.155,80.825,81.940,303991
15.05.2009 00:00:00.000,81.940,82.155,80.345,80.820,249134
