Gmt time,Open,High,Low,Close,Volume
04.08.2003 00:00:00.000,1.40029,1.40700,1.39510,1.40336,60120.4141
05.08.2003 00:00:00.000,1.40372,1.41119,1.39698,1.39821,150301.0469
06.08.2003 00:00:00.000,1.39816,1.40630,1.39658,1.40365,148988.375
07.08.2003 00:00:00.000,1.40372,1.40646,1.39109,1.39238,151334.6719
08.08.2003 00:00:00.000,1.39236,1.39747,1.38928,1.39138,140787.4531
09.08.2003 00:00:00.000,1.39138,1.39138,1.39138,1.39138,0
10.08.2003 00:00:00.000,1.39105,1.39155,1.39035,1.39105,6034.2998
11.08.2003 00:00:00.000,1.39087,1.39937,1.37572,1.38028,174293.6875
12.08.2003 00:00:00.000,1.37946,1.38654,1.37839,1.38506,187492.4063
13.08.2003 00:00:00.000,1.38477,1.38947,1.37794,1.38032,179190.7344
14.08.2003 00:00:00.000,1.38021,1.39698,1.37696,1.39291,175635.2344
15.08.2003 00:00:00.000,1.39283,1.39348,1.38382,1.38614,145239.625
16.08.2003 00:00:00.000,1.38614,1.38614,1.38614,1.38614,0
17.08.2003 00:00:00.000,1.38625,1.38667,1.38507,1.38549,4760.1001
18.08.2003 00:00:00.000,1.38545,1.39381,1.38429,1.39152,179530.6719
19.08.2003 00:00:00.000,1.39154,1.40255,1.39065,1.39423,187116.0156
20.08.2003 00:00:00.000,1.39413,1.40774,1.39363,1.40193,186228.2656
21.08.2003 00:00:00.000,1.40183,1.41068,1.40087,1.40582,194657.1094
22.08.2003 00:00:00.000,1.40593,1.41606,1.39987,1.40082,169695.5781
23.08.2003 00:00:00.000,1.40082,1.40082,1.40082,1.40082,0
24.08.2003 00:00:00.000,1.40104,1.40190,1.39959,1.39959,10364.7002
25.08.2003 00:00:00.000,1.39951,1.40430,1.39570,1.40257,183265.625
26.08.2003 00:00:00.000,1.40240,1.40400,1.39077,1.39449,186202.7188
27.08.2003 00:00:00.000,1.39450,1.40586,1.39338,1.40393,184393.1875
28.08.2003 00:00:00.000,1.40385,1.40774,1.39191,1.39704,192566.1719
29.08.2003 00:00:00.000,1.39688,1.40110,1.38383,1.38601,168623.9375
30.08.2003 00:00:00.000,1.38601,1.38601,1.38601,1.38601,0
31.08.2003 00:00:00.000,1.38558,1.38616,1.38420,1.38563,5959.8999
01.09.2003 00:00:00.000,1.38553,1.38607,1.37523,1.37917,147776.3438
02.09.2003 00:00:00.000,1.37943,1.39455,1.37649,1.39225,210270.9375
03.09.2003 00:00:00.000,1.39254,1.39747,1.37736,1.38027,189009.1563
04.09.2003 00:00:00.000,1.38036,1.38415,1.36913,1.37269,188519.2188
05.09.2003 00:00:00.000,1.37261,1.37379,1.36486,1.36806,172588.8594
06.09.2003 00:00:00.000,1.36806,1.36806,1.36806,1.36806,0
07.09.2003 00:00:00.000,1.36908,1.36995,1.36486,1.36613,12896.7998
08.09.2003 00:00:00.000,1.36633,1.37684,1.36523,1.37341,189432.2031
09.09.2003 00:00:00.000,1.37360,1.37386,1.36177,1.36769,177714.3594
10.09.2003 00:00:00.000,1.36775,1.37127,1.36278,1.36838,177163.3438
11.09.2003 00:00:00.000,1.36837,1.37423,1.36482,1.37048,184897.9531
12.09.2003 00:00:00.000,1.37022,1.37423,1.36072,1.36480,157539.375
13.09.2003 00:00:00.000,1.36480,1.36480,1.36480,1.36480,0
14.09.2003 00:00:00.000,1.36473,1.36502,1.36375,1.36400,5344.7998
15.09.2003 00:00:00.000,1.36390,1.37112,1.36273,1.36628,169826.7656
16.09.2003 00:00:00.000,1.36627,1.37091,1.36336,1.36819,184550.4531
17.09.2003 00:00:00.000,1.36779,1.37381,1.36356,1.36696,185440.2344
18.09.2003 00:00:00.000,1.36725,1.36783,1.35883,1.36146,183891.8438
19.09.2003 00:00:00.000,1.36138,1.36254,1.34569,1.34805,168001.6406
20.09.2003 00:00:00.000,1.34805,1.34805,1.34805,1.34805,0
21.09.2003 00:00:00.000,1.34203,1.34357,1.34001,1.34105,15020.7002
22.09.2003 00:00:00.000,1.34122,1.35531,1.33632,1.35206,191348.5156
23.09.2003 00:00:00.000,1.35203,1.35824,1.34565,1.35609,185959.375
24.09.2003 00:00:00.000,1.35608,1.35826,1.34805,1.34955,190286.9531
25.09.2003 00:00:00.000,1.34926,1.35197,1.34461,1.34978,178497.9063
26.09.2003 00:00:00.000,1.34959,1.35782,1.34832,1.35181,178688.0469
27.09.2003 00:00:00.000,1.35181,1.35181,1.35181,1.35181,0
28.09.2003 00:00:00.000,1.35250,1.35401,1.35250,1.35317,5145
29.09.2003 00:00:00.000,1.35283,1.36351,1.34997,1.35469,183677.6094
30.09.2003 00:00:00.000,1.35466,1.35546,1.34247,1.35004,195365.5469
01.10.2003 00:00:00.000,1.35003,1.35160,1.34293,1.34537,184929.9531
02.10.2003 00:00:00.000,1.34528,1.35152,1.33701,1.33866,184129.9375
03.10.2003 00:00:00.000,1.33868,1.34786,1.33680,1.34416,172862.25
04.10.2003 00:00:00.000,1.34416,1.34416,1.34416,1.34416,0
05.10.2003 00:00:00.000,1.34400,1.34584,1.34309,1.34517,4974.5
06.10.2003 00:00:00.000,1.34518,1.34878,1.33844,1.34013,172207.9219
07.10.2003 00:00:00.000,1.34007,1.34115,1.32663,1.32999,185204.625
08.10.2003 00:00:00.000,1.32981,1.33486,1.32577,1.33067,186580.1406
09.10.2003 00:00:00.000,1.33047,1.34175,1.32760,1.33829,180565.2813
10.10.2003 00:00:00.000,1.33801,1.33945,1.31823,1.32048,166684.2813
11.10.2003 00:00:00.000,1.32048,1.32048,1.32048,1.32048,0
12.10.2003 00:00:00.000,1.32015,1.32074,1.31884,1.32074,5526.6001
13.10.2003 00:00:00.000,1.32066,1.32604,1.31870,1.32248,165142.2656
14.10.2003 00:00:00.000,1.32258,1.33095,1.32167,1.32311,187740.7969
15.10.2003 00:00:00.000,1.32312,1.33030,1.32220,1.32877,179404.1563
16.10.2003 00:00:00.000,1.32867,1.33025,1.31194,1.31716,183439.5313
17.10.2003 00:00:00.000,1.31726,1.32257,1.31090,1.31538,163734.6563
18.10.2003 00:00:00.000,1.31538,1.31538,1.31538,1.31538,0
19.10.2003 00:00:00.000,1.31472,1.31600,1.31250,1.31449,9307.0996
20.10.2003 00:00:00.000,1.31471,1.32207,1.31400,1.31963,182064.5938
21.10.2003 00:00:00.000,1.31985,1.32493,1.31252,1.31727,182591.0938
22.10.2003 00:00:00.000,1.31718,1.31761,1.30164,1.30348,182694.9688
23.10.2003 00:00:00.000,1.30333,1.31136,1.30139,1.30471,179828.0469
24.10.2003 00:00:00.000,1.30458,1.30860,1.30305,1.30708,168014.2656
25.10.2003 00:00:00.000,1.30708,1.30708,1.30708,1.30708,0
26.10.2003 00:00:00.000,1.30720,1.30731,1.30606,1.30690,4186.2998
27.10.2003 00:00:00.000,1.30679,1.31333,1.30500,1.31068,175376.0313
28.10.2003 00:00:00.000,1.31063,1.31640,1.30652,1.30980,180627.1406
29.10.2003 00:00:00.000,1.30959,1.31286,1.30607,1.31151,174890.9688
30.10.2003 00:00:00.000,1.31138,1.31551,1.30488,1.31508,176168.1563
